ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Chairperson	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Chairperson	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Chairperson	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	M5S.2	MoVimento 5 Stelle	Coalition	Coltorti, Mauro	M	1954
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	PD	Partito Democratico	Opposition	Ferrari, Alan	M	1975
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Vitali, Luigi	M	1955
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	Misto	Misto		De Petris, Loredana	F	1957
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Chairperson	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Bernini, Anna Maria	F	1965
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	PD	Partito Democratico	Opposition	Alfieri, Alessandro	M	1972
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u13	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	Misto	Misto		De Petris, Loredana	F	1957
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u14	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	L-SP-PSd'Az	Lega-Salvini Premier-Partito Sardo d'Azione	Coalition	Bagnai, Alberto	M	1962
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u15	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u16	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2019-01-22-LEG18-Sed-81.u17	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 81, Day (2019-01-22)	2019-01-22	2019-01-22	Upper house	18-upper			81-upper		Reference	Regular	MP	PD	Partito Democratico	Opposition	Ferrari, Alan	M	1975
