ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		De Siano, Domenico	M	1958
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	PD	Partito Democratico	Opposition	Zanda, Luigi	M	1942
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	Aut (SVP-PATT, UV)	Per le Autonomie (SVP-PATT, UV)	Opposition	Casini, Pier Ferdinando	M	1955
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u13	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	M5S.2	MoVimento 5 Stelle	Coalition	Evangelista, Elvira Lucia	F	1968
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u14	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Guest	MP				Morrone, Jacopo	M	1983
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u15	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u16	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	M5S.2	MoVimento 5 Stelle	Coalition	Lanzi, Gabriele	M	1957
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u17	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Modena, Fiammetta	F	1965
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u18	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u19	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	M5S.2	MoVimento 5 Stelle	Coalition	Di Nicola, Primo	M	1952
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u20	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u21	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	Misto	Misto		Nencini, Riccardo	M	1959
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u22	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	FdI	Fratelli d'Italia	Opposition	La Pietra, Patrizio Giacomo	M	1961
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u23	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	PD	Partito Democratico	Opposition	Biti, Caterina	F	1976
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u24	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	L-SP-PSd'Az	Lega-Salvini Premier-Partito Sardo d'Azione	Coalition	Vescovi, Manuel	M	1970
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u25	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Regular	MP	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Rizzotti, Maria	F	1953
ParlaMint-IT_2018-09-11-LEG18-Sed-34.u26	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 34, Day (2018-09-11)	2018-09-11	2018-09-11	Upper house	18-upper			34-upper		Reference	Chairperson	MP	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC		Alberti Casellati, Maria Elisabetta	F	1946
