ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Martelli, Carlo	M	1966
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	Aut (SVP, UV, PATT, UPT) - PSI	Per le Autonomie (SVP, UV, PATT, UPT) - PSI		Zeller, Karl	M	1961
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	SCpI	Scelta Civica per l'Italia	Coalition	Giannini, Stefania	F	1960
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	PdL	Il Popolo della Libertà	Coalition	D'Ali', Antonio	M	1951
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Chiti, Vannino	M	1947
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Guest	notMP				Galletti, Gian Luca	M	1961
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Lo Moro, Doris	F	1955
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Fucksia, Serenella	F	1966
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	PdL	Il Popolo della Libertà	Coalition	Quagliariello, Gaetano	M	1960
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u22	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u23	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u24	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	PdL	Il Popolo della Libertà	Coalition	Quagliariello, Gaetano	M	1960
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u25	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Finocchiaro, Anna	F	1955
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u26	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u27	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2013-10-15-LEG17-Sed-125.u28	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 125, Day (2013-10-15)	2013-10-15	2013-10-15	Upper house	17-upper			125-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Campanella, Francesco	M	1964
