ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Guest	notMP				De Filippo, Vito	M	1963
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Serra, Manuela	F	1971
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Guest	notMP				De Filippo, Vito	M	1963
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Mattesini, Donella	F	1956
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Guest	notMP				Toccafondi, Gabriele	M	1972
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Pagliari, Giorgio	M	1950
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Regular	MP	Misto	Misto		Casaletto, Monica	F	1968
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-26-LEG17-Sed-271.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 271, Day (2014-06-26)	2014-06-26	2014-06-26	Upper house	17-upper			271-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
