ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Vacciano, Giuseppe	M	1972
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Vacciano, Giuseppe	M	1972
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Stefani, Erika	F	1971
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	Aut (SVP, UV, PATT, UPT)-PSI-MAIE	Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE	Coalition	Buemi, Enrico	M	1947
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	Misto	Misto		De Cristofaro, Peppe	M	1971
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	NCD	Nuovo Centrodestra	Coalition	Giovanardi, Carlo	M	1950
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Buccarella, Maurizio	M	1964
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Caliendo, Giacomo	M	1942
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Capacchione, Rosaria	F	1960
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Mirabelli, Franco	M	1960
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-10-29-LEG17-Sed-341.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 341, Day (2014-10-29)	2014-10-29	2014-10-29	Upper house	17-upper			341-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Mirabelli, Franco	M	1960
