ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Arrigoni, Paolo	M	1964
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gibiino, Vincenzo	M	1965
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	Misto	Misto		Orellana, Luis Alberto	M	1961
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Donno, Daniela	F	1960
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	SCpI	Scelta Civica per l'Italia		Casini, Pier Ferdinando	M	1955
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	GAL	Grandi Autonomie e Libertà		Scavone, Antonio	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Bertorotta, Ornella	F	1967
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	NCD	Nuovo Centrodestra	Coalition	Compagna, Luigi	M	1948
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Vattuone, Vito	M	1958
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Centinaio, Gian Marco	M	1971
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Simeoni, Ivana	F	1950
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gibiino, Vincenzo	M	1965
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u22	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Padua, Venera	F	1957
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u23	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Consiglio, Nunziante	M	1964
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u24	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	De Pietro, Cristina	F	1957
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u25	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Alicata, Bruno	M	1956
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u26	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Verducci, Francesco	M	1972
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u27	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Stefani, Erika	F	1971
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u28	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	Misto	Misto		Battista, Lorenzo	M	1973
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u29	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	SCpI	Scelta Civica per l'Italia		Mauro, Mario	M	1961
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u30	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u31	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Montevecchi, Michela	F	1971
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u32	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Bernini, Anna Maria	F	1965
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u33	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Guerra, Maria Cecilia	F	1957
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u34	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u35	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Puglia, Sergio	M	1972
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u36	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Orru', Pamela Giacoma Giovanna	F	1967
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u37	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2014-06-11-LEG17-Sed-260.u38	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 260, Day (2014-06-11)	2014-06-11	2014-06-11	Upper house	17-upper			260-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
