percentuale_consecutivi	percentuale_non_consecutivi
61.02%	38.98%
44.71%	55.29%
51.25%	48.75%
56.67%	43.33%
58.97%	41.03%
51.61%	48.39%
48.48%	51.52%
45.83%	54.17%
50.00%	50.00%
20.00%	80.00%
57.35%	42.65%
52.50%	47.50%
45.16%	54.84%
36.11%	63.89%
51.15%	48.85%
53.47%	46.53%
