perc_errati_da_tutti_su_totale_classificati	perc_corretti_da_tutti_su_totale_classificati	perc_errati_da_uno_solo_su_totale_classificati	perc_corretti_da_uno_solo_su_totale_classificati
2.46%	3.54%	6.67%	5.00%
1.62%	1.29%	5.50%	4.00%
0.17%	0.21%	2.83%	1.67%
2.58%	3.00%	5.46%	4.21%
