perc_errati_da_tutti_su_totale_classificati	perc_corretti_da_tutti_su_totale_classificati	perc_errati_da_uno_solo_su_totale_classificati	perc_corretti_da_uno_solo_su_totale_classificati
17.17%	42.29%	12.62%	9.25%
15.79%	46.92%	12.00%	7.96%
16.83%	41.50%	15.38%	10.33%
13.46%	51.75%	12.67%	7.46%
