ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Regular	MP	GAL-UDC	Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro		Mauro, Giovanni	M	1962
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Fattorini, Emma	F	1952
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Filippin, Rosanna	F	1962
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Consiglio, Nunziante	M	1964
ParlaMint-IT_2015-03-05-LEG17-Sed-404.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 404, Day (2015-03-05)	2015-03-05	2015-03-05	Upper house	17-upper			404-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Bertorotta, Ornella	F	1967
