ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Santangelo, Vincenzo	M	1972
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Misto	Misto		De Petris, Loredana	F	1957
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Mineo, Corradino	M	1950
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Crosio, Jonny	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	PdL	Il Popolo della Libertà		Minzolini, Augusto	M	1958
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Misto	Misto		Cervellini, Massimo	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Cioffi, Andrea	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Scibona, Marco	M	1967
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Ranucci, Raffaele	M	1957
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Guest	MP				Giacomelli, Antonello	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Crosio, Jonny	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Ranucci, Raffaele	M	1957
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Misto	Misto		De Petris, Loredana	F	1957
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u22	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u23	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Mineo, Corradino	M	1950
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u24	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u25	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Santangelo, Vincenzo	M	1972
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u26	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u27	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Endrizzi, Giovanni	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u28	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Misto	Misto		Campanella, Francesco	M	1964
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u29	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u30	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u31	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Puglia, Sergio	M	1972
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u32	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u33	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Crosio, Jonny	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u34	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u35	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u36	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u37	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u38	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u39	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Cioffi, Andrea	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u40	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u41	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Mineo, Corradino	M	1950
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u42	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u43	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Crosio, Jonny	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u44	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u45	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Crosio, Jonny	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u46	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Cioffi, Andrea	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u47	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u48	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Candiani, Stefano	M	1971
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u49	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Cioffi, Andrea	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u50	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Ranucci, Raffaele	M	1957
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u51	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Aut (SVP, UV, PATT, UPT)-PSI-MAIE	Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE	Coalition	Zin, Claudio	M	1945
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u52	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Misto	Misto		De Petris, Loredana	F	1957
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u53	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Crosio, Jonny	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u54	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u55	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Crosio, Jonny	M	1962
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u56	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Fucksia, Serenella	F	1966
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u57	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u58	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u59	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u60	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Consiglio, Nunziante	M	1964
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u61	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Misto	Misto		Mussini, Maria	F	1967
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u62	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Scibona, Marco	M	1967
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u63	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Floris, Emilio	M	1944
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u64	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	CRi	Conservatori, Riformisti italiani		Liuzzi, Pietro	M	1954
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u65	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u66	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u67	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u68	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Stefani, Erika	F	1971
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u69	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Blundo, Rosetta Enza	F	1964
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u70	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Misto	Misto		Bignami, Laura	F	1969
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u71	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Gasparri, Maurizio	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u72	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u73	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	Misto	Misto		Cervellini, Massimo	M	1956
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u74	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Mineo, Corradino	M	1950
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u75	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u76	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
ParlaMint-IT_2015-07-30-LEG17-Sed-494.u77	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 494, Day (2015-07-30)	2015-07-30	2015-07-30	Upper house	17-upper			494-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Airola, Alberto	M	1970
