ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Regular	MP	AP (NCD-UDC)	Area Popolare (NCD-UDC)	Coalition	Bianconi, Laura	F	1960
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	De Biasi, Emilia Grazia	F	1958
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Regular	MP	CRi	Conservatori, Riformisti italiani		D'Ambrosio Lettieri, Luigi	M	1955
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Mandelli, Andrea	M	1962
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Palma, Nitto Francesco	M	1950
ParlaMint-IT_2015-06-16-LEG17-Sed-465.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 465, Day (2015-06-16)	2015-06-16	2015-06-16	Upper house	17-upper			465-upper		Reference	Regular	MP	CRi	Conservatori, Riformisti italiani		Bonfrisco, Anna Cinzia	F	1962
