ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Lo Moro, Doris	F	1955
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Malan, Lucio	M	1960
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Crimi, Vito Claudio	M	1972
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	Misto	Misto		Bellot, Raffaela	F	1965
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Divina, Sergio	M	1955
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	CRi	Conservatori, Riformisti italiani		Bruni, Francesco	M	1964
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Guest	MP				Madia, Maria Anna	F	1980
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Lo Moro, Doris	F	1955
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Malan, Lucio	M	1960
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Crimi, Vito Claudio	M	1972
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	Misto	Misto		Bellot, Raffaela	F	1965
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Divina, Sergio	M	1955
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	CRi	Conservatori, Riformisti italiani		Bruni, Francesco	M	1964
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Ruta, Roberto	M	1966
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Malan, Lucio	M	1960
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Morra, Nicola	M	1963
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	Misto	Misto		Bocchino, Fabrizio	M	1968
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u22	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	ALA-PRI	ALA (Alleanza Liberal Popolare) - PRI (Partito Repubblicano Italiano)		D'Anna, Vincenzo	M	1951
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u23	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Divina, Sergio	M	1955
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u24	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	GAL (GS, PpI, FV, M)	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati)		Naccarato, Paolo	M	1958
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u25	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	CRi	Conservatori, Riformisti italiani		Zizza, Vittorio	M	1967
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u26	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Guest	MP				Madia, Maria Anna	F	1980
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u27	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Ruta, Roberto	M	1966
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u28	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Malan, Lucio	M	1960
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u29	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	Misto	Misto		Bocchino, Fabrizio	M	1968
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u30	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	ALA-PRI	ALA (Alleanza Liberal Popolare) - PRI (Partito Repubblicano Italiano)		D'Anna, Vincenzo	M	1951
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u31	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Divina, Sergio	M	1955
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u32	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	GAL (GS, PpI, FV, M)	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati)		Naccarato, Paolo	M	1958
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u33	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Regular	MP	CRi	Conservatori, Riformisti italiani		Zizza, Vittorio	M	1967
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u34	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u35	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
ParlaMint-IT_2015-12-10-LEG17-Sed-552.u36	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 552, Day (2015-12-10)	2015-12-10	2015-12-10	Upper house	17-upper			552-upper		Reference	Chairperson	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Calderoli, Roberto	M	1956
