ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Martelli, Carlo	M	1966
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Broglia, Claudio	M	1961
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Montevecchi, Michela	F	1971
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	FI-PdL XVII	Forza Italia-Il Popolo della Libertà XVII Legislatura	Opposition	Carraro, Franco	M	1939
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	Aut (SVP, UV, PATT, UPT)-PSI-MAIE	Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE	Coalition	Palermo, Francesco	M	1969
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	GAL	Grandi Autonomie e Libertà		D'Onghia, Angela	F	1962
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	PdL	Il Popolo della Libertà		Mazzoni, Riccardo	M	1953
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	Aut (SVP, UV, PATT, UPT)-PSI-MAIE	Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE	Coalition	Palermo, Francesco	M	1969
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	GAL	Grandi Autonomie e Libertà		D'Onghia, Angela	F	1962
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Fedeli, Valeria	F	1949
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	Aut (SVP, UV, PATT, UPT)-PSI-MAIE	Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE	Coalition	Palermo, Francesco	M	1969
ParlaMint-IT_2015-05-20-LEG17-Sed-454.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 454, Day (2015-05-20)	2015-05-20	2015-05-20	Upper house	17-upper			454-upper		Reference	Regular	MP	GAL	Grandi Autonomie e Libertà		D'Onghia, Angela	F	1962
