ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Lanzillotta, Linda	F	1948
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Lanzillotta, Linda	F	1948
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Lanzillotta, Linda	F	1948
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Morra, Nicola	M	1963
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Lanzillotta, Linda	F	1948
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Ciampolillo, Lello	M	1972
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Regular	MP	FL (Id-PL, PLI)	Federazione della Libertà (Idea-Popolo e Libertà, PLI)		Giovanardi, Carlo	M	1950
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Regular	MP	Misto	Misto		De Cristofaro, Peppe	M	1971
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Regular	MP	ALA-PRI	ALA (Alleanza Liberal Popolare) - PRI (Partito Repubblicano Italiano)		Falanga, Ciro	M	1951
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Regular	MP	Art.1-MDP-LeU	Articolo 1 - Movimento Democratico e Progressista - Liberi e Uguali		Ricchiuti, Lucrezia	F	1956
ParlaMint-IT_2017-10-04-LEG17-Sed-890.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 890, Day (2017-10-04)	2017-10-04	2017-10-04	Upper house	17-upper			890-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Gaetti, Luigi	M	1959
